generation,ms,time,fitness_all,fitness_semi
23,"[[2, 7, 11, 14, 5, 16, 4, 9, 12, 1, 13, 8, 15, 10, 6, 3], [16, 1, 16, 3, 1, 16, 16, 16, 2, 16, 16, 1, 1, 16, 1, 1]]",0.0029997825622558594,"[54.0, 50.0, 50.0, 46.0, 44.0, 43.0, 44.0, 42.0, 44.0, 43.0, 41.0, 38.0, 38.0, 38.0, 37.0, 36.0, 32.0, 32.0, 29.0, 28.0, 27.0, 24.0, 8.0, 0.0]","[38.0, 30.0, 22.0, 18.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 14.0, 12.0, 12.0, 12.0, 10.0, 8.0, 6.0, 6.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0]"
31,"[[8, 6, 9, 11, 12, 10, 7, 5, 13, 15, 2, 4, 1, 3, 16, 14], [2, 1, 2, 16, 2, 16, 16, 16, 2, 2, 1, 16, 16, 16, 1, 1]]",0.0019931793212890625,"[45.0, 46.0, 27.0, 26.0, 27.0, 27.0, 19.0, 18.0, 18.0, 16.0, 14.0, 16.0, 17.0, 16.0, 14.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.0, 11.0, 11.0, 11.0, 11.0, 8.0, 0.0]","[28.0, 28.0, 20.0, 18.0, 18.0, 18.0, 12.0, 12.0, 12.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0]"
16,"[[1, 7, 14, 12, 6, 15, 4, 9, 11, 2, 13, 8, 16, 10, 3, 5], [16, 16, 1, 3, 16, 1, 2, 16, 16, 16, 16, 2, 1, 1, 2, 16]]",0.001993894577026367,"[55.0, 48.0, 47.0, 47.0, 47.0, 45.0, 43.0, 39.0, 35.0, 32.0, 29.0, 29.0, 30.0, 26.0, 10.0, 2.0, 0.0]","[28.0, 18.0, 18.0, 18.0, 18.0, 16.0, 14.0, 12.0, 8.0, 6.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0]"
30,"[[2, 9, 16, 7, 12, 8, 1, 13, 5, 11, 14, 4, 15, 6, 3, 10], [16, 1, 2, 16, 1, 2, 2, 16, 16, 16, 16, 1, 1, 1, 1, 16]]",0.002001523971557617,"[56.0, 52.0, 48.0, 43.0, 42.0, 43.0, 42.0, 42.0, 43.0, 43.0, 42.0, 43.0, 44.0, 43.0, 43.0, 43.0, 42.0, 40.0, 38.0, 37.0, 34.0, 34.0, 34.0, 34.0, 34.0, 31.0, 28.0, 6.0, 6.0, 6.0, 0.0]","[20.0, 16.0, 12.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,"[[10, 11, 6, 7, 5, 8, 9, 12, 15, 14, 3, 2, 4, 1, 16, 13], [1, 16, 2, 2, 2, 1, 1, 1, 1, 16, 2, 2, 16, 16, 1, 3]]",0.004996061325073242,"[52.0, 50.0, 46.0, 33.0, 30.0, 30.0, 26.0, 13.0, 13.0, 10.0, 11.0, 11.0, 11.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 3.0, 0.0]","[44.0, 42.0, 38.0, 20.0, 14.0, 14.0, 12.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 0.0]"
21,"[[11, 2, 5, 16, 7, 9, 4, 14, 10, 8, 13, 3, 6, 15, 12, 1], [16, 16, 2, 16, 3, 16, 5, 16, 16, 3, 1, 16, 16, 1, 16, 1]]",0.0020132064819335938,"[65.0, 53.0, 53.0, 53.0, 49.0, 40.0, 40.0, 41.0, 39.0, 38.0, 32.0, 28.0, 12.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]","[40.0, 28.0, 26.0, 26.0, 22.0, 16.0, 16.0, 14.0, 12.0, 10.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,"[[4, 12, 13, 5, 15, 9, 8, 2, 1, 7, 10, 16, 14, 6, 3, 11], [1, 1, 1, 1, 1, 1, 1, 16, 16, 16, 16, 1, 1, 1, 1, 16]]",0.0030024051666259766,"[41.0, 41.0, 38.0, 33.0, 24.0, 23.0, 23.0, 23.0, 23.0, 37.0, 37.0, 13.0, 13.0, 11.0, 11.0, 13.0, 13.0, 11.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 11.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 4.0, 4.0, 4.0, 0.0]","[34.0, 30.0, 28.0, 18.0, 10.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[13, 7, 10, 4, 12, 9, 8, 5, 3, 16, 1, 14, 6, 2, 15, 11], [16, 16, 16, 1, 1, 5, 16, 1, 1, 16, 16, 2, 1, 1, 16, 16]]",0.0020012855529785156,"[55.0, 33.0, 32.0, 35.0, 25.0, 25.0, 25.0, 23.0, 17.0, 17.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 6.0, 6.0, 2.0, 0.0]","[30.0, 26.0, 24.0, 18.0, 8.0, 8.0, 8.0, 6.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,"[[11, 10, 8, 5, 6, 7, 9, 12, 1, 4, 14, 15, 16, 13, 3, 2], [16, 1, 16, 16, 16, 16, 16, 16, 16, 3, 16, 2, 16, 16, 2, 16]]",0.0020072460174560547,"[33.0, 33.0, 32.0, 27.0, 27.0, 26.0, 23.0, 8.0, 8.0, 8.0, 8.0, 0.0]","[18.0, 18.0, 16.0, 12.0, 12.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,"[[13, 5, 4, 12, 2, 8, 9, 15, 16, 10, 7, 1, 3, 11, 14, 6], [3, 3, 1, 16, 16, 1, 16, 2, 2, 16, 4, 1, 2, 16, 1, 2]]",0.0019872188568115234,"[52.0, 49.0, 45.0, 45.0, 55.0, 56.0, 50.0, 44.0, 41.0, 40.0, 44.0, 40.0, 40.0, 40.0, 40.0, 38.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 31.0, 28.0, 0.0]","[48.0, 42.0, 38.0, 38.0, 30.0, 28.0, 22.0, 16.0, 14.0, 12.0, 12.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]"
